,id_estacao,data_medicao,coleta,ponto,data_inicio,data_fim,ph,temperatura_do_ar,temperatura_da_agua,salinidade,oxigenio_dissolvido,turbidez,disco_de_secchi,profundidade_total,profundidade_de_coleta,coliformes_totais,escherichia_coli,nitrogenio_amoniacal,fosforo_total_mg_l,fosforo_total_mg_kg,fosfato_total,nitrato,silica,sulfeto,materia_organica
2292,1,2024-07-24 12:51:00,Regular,LRF1 - Superfície,2024-07-24 12:48:00,2024-07-24 12:51:00,8.69,28.0,23.1,10.7,11.8,1.85,53.0,3.3,0.3,23,2,0.08,0.019,,<0.016,0.39,5.7,<0.1,
2293,1,2023-08-09 11:01:00,Regular,LRF4 - Superfície,2023-08-09 10:58:00,2023-08-09 11:01:00,8.41,23.0,23.1,10.9,7.88,1.59,204.0,3.5,0.3,16000,28,0.09,0.05,,<0.016,0.25,5.2,<0.1,
2294,1,2024-07-26 13:56:00,Regular,LRF5 - Superfície,2024-07-26 13:54:00,2024-07-26 13:56:00,8.79,27.0,23.1,10.7,11.49,1.9,52.0,3.0,0.3,130,7,0.109,0.047,,0.022,0.26,5.3,<0.1,
2295,1,2023-08-09 10:47:00,Regular,LRF6 - Superfície,2023-08-09 10:44:00,2023-08-09 10:47:00,8.58,23.0,23.1,10.8,9.03,3.57,80.0,3.0,0.3,46,2,0.14,0.047,,<0.016,0.28,5.1,<0.1,
2296,1,2023-07-24 13:21:00,Regular,LRF4 - Superfície,2023-07-24 13:18:00,2023-07-24 13:21:00,8.35,28.0,23.1,10.6,8.89,<1.5,303.0,3.7,0.3,2,<1.8,0.07,0.021,,<0.016,0.48,5.2,<0.1,
2297,1,2022-09-19  12:32:00,Regular,LRF1 - Fundo,2022-09-19  12:29:00,2022-09-19  12:32:00,7.02,,23.1,15.28,4.59,3.8,,,2.8,,,0.26,0.036,,<0.016,<0.05,3.2,<0.1,
2298,1,2024-08-21 12:03:00,Regular,LRF3 - Meio Afótico,2024-08-21 12:00:00,2024-08-21 12:03:00,8.05,,23.1,10.2,7.04,2.64,,,2.31,,,0.24,0.067,,<0.016,0.28,4.8,0.1,
2299,1,2023-08-21 12:03:00,Regular,LRF3 - Meio Afótico,2023-08-21 12:00:00,2023-08-21 12:03:00,8.05,,23.1,10.2,7.04,2.64,,,2.31,,,0.24,0.067,,<0.016,0.28,4.8,0.1,
2300,1,2022-09-19  13:25:00,Regular,LRF6 - Fundo,2022-09-19  13:21:00,2022-09-19  13:25:00,7.01,,23.1,16.02,4.2,3.1,,,2.7,,,0.22,0.041,,<0.016,<0.05,2.7,<0.1,
2301,1,2024-08-07 13:03:00,Regular,LRF1 - Fundo,2024-08-07 13:00:00,2024-08-07 13:03:00,7.44,,23.1,11.1,3.16,4.38,,,2.7,,,0.14,0.032,,<0.016,0.25,5,<0.1,
2302,1,2023-08-07 13:03:00,Regular,LRF1 - Fundo,2023-08-07 13:00:00,2023-08-07 13:03:00,7.44,,23.1,11.1,3.16,4.38,,,2.7,,,0.14,0.032,,<0.016,0.25,5,<0.1,
2303,1,2023-08-21 13:29:00,Regular,LRF4 - Fundo,2023-08-21 13:26:00,2023-08-21 13:29:00,7.74,,23.1,10.3,4.7,2.16,,,3.2,,,0.29,0.042,,<0.016,0.29,4.7,0.1,
2304,1,2024-05-24 12:42:00,Regular,LRF4 - Fundo,2024-05-24 12:39:00,2024-05-24 12:42:00,7.08,,23.1,11.04,5.51,2.21,,,3.2,,,0.12,0.026,,<0.016,0.23,5.4,<0.1,
2305,1,2024-08-21 13:29:00,Regular,LRF4 - Fundo,2024-08-21 13:26:00,2024-08-21 13:29:00,7.74,,23.1,10.3,4.7,2.16,,,3.2,,,0.29,0.042,,<0.016,0.29,4.7,0.1,
2306,1,2023-05-24 12:42:00,Regular,LRF4 - Fundo,2023-05-24 12:39:00,2023-05-24 12:42:00,7.08,,23.1,11.04,5.51,2.21,,,3.2,,,0.12,0.026,,<0.016,0.23,5.4,<0.1,
2307,1,2022-07-11 12:57:00,Regular,LRF2 - Fundo,2022-07-11 12:53:00,2022-07-11 12:57:00,8.64,,23.1,14.3,6.96,6.1,,,3.1,,,0.081,0.055,,<0.016,<0.05,2.5,<0.1,
2308,1,2022-07-11 12:07:00,Regular,LRF3 - Fundo,2022-07-11 12:04:00,2022-07-11 12:07:00,8.81,,23.1,14,7.43,12.9,,,3.1,,,0.096,0.089,,<0.016,<0.05,2.6,<0.1,
2309,1,2022-09-19  13:04:00,Regular,LRF4 - Fundo,2022-09-19  13:00:00,2022-09-19  13:04:00,6.98,,23.1,15.87,4.1,2.4,,,3.1,,,0.43,0.042,,<0.016,<0.05,3.1,<0.1,
2310,1,2024-06-14 12:55:00,Regular,LRF6 - Fundo,2024-06-14 12:52:00,2024-06-14 12:55:00,7.54,,23.1,9.83,5.2,2.2,,,3.1,,,0.11,0.022,,<0.016,0.25,4.8,<0.1,
2311,1,2023-06-14 12:55:00,Regular,LRF6 - Fundo,2023-06-14 12:52:00,2023-06-14 12:55:00,7.54,,23.1,9.83,5.2,2.2,,,3.1,,,0.11,0.022,,<0.016,0.25,4.8,<0.1,
2312,1,2022-09-12 10:23:00,Regular,LRF3 - Fundo,2022-09-12 10:19:00,2022-09-12 10:23:00,6.69,,23.1,13.7,4.19,2.09,,,3.1,,,0.23,0.048,,<0.016,0.052,3.1,<0.1,
2313,1,2023-08-13 09:53:00,Extra,LRF4 - Fundo,2023-08-13 09:50:00,2023-08-13 09:53:00,,,23.2,,7.37,,,,,,,,,,,,,,
2314,1,2023-06-17 10:42:00,Extra,LRF3 - Fundo,2023-06-17 10:39:00,2023-06-17 10:42:00,,,23.2,,3.98,,,,,,,,,,,,,,
2315,1,2024-06-17 10:42:00,Extra,LRF3 - Fundo,2024-06-17 10:39:00,2024-06-17 10:42:00,,,23.2,,3.98,,,,,,,,,,,,,,
2316,1,2023-08-12 08:18:00,Extra,LRF5 - Superfície,2023-08-12 08:15:00,2023-08-12 08:18:00,,,23.2,,8.94,,,,,,,,,,,,,,
2317,1,2024-08-19 07:33:00,Extra,LRF1 - Superfície,2024-08-19 07:30:00,2024-08-19 07:33:00,,,23.2,,6.93,,,,,,,,,,,,,,
2318,1,2024-08-13 09:23:00,Extra,LRF3 - Fundo,2024-08-13 09:20:00,2024-08-13 09:23:00,,,23.2,,6.32,,,,,,,,,,,,,,
2319,1,2024-08-19 08:16:00,Extra,LRF5 - Superfície,2024-08-19 08:13:00,2024-08-19 08:16:00,,,23.2,,7.03,,,,,,,,,,,,,,
2320,1,2024-05-27 10:19:00,Extra,LRF2 - Fundo,2024-05-27 10:15:00,2024-05-27 10:19:00,,,23.2,,3.87,,,,,,,,,,,,,,
2321,1,2024-05-27 10:05:00,Extra,LRF4 - Fundo,2024-05-27 10:02:00,2024-05-27 10:05:00,,,23.2,,4.71,,,,,,,,,,,,,,
2322,1,2024-08-12 08:18:00,Extra,LRF5 - Superfície,2024-08-12 08:15:00,2024-08-12 08:18:00,,,23.2,,8.94,,,,,,,,,,,,,,
2323,1,2024-08-13 09:53:00,Extra,LRF4 - Fundo,2024-08-13 09:50:00,2024-08-13 09:53:00,,,23.2,,7.37,,,,,,,,,,,,,,
2324,1,2023-08-20 09:39:00,Extra,LRF6 - Superfície,2023-08-20 09:36:00,2023-08-20 09:39:00,,,23.2,,6.71,,,,,,,,,,,,,,
2325,1,2023-08-19 07:33:00,Extra,LRF1 - Superfície,2023-08-19 07:30:00,2023-08-19 07:33:00,,,23.2,,6.93,,,,,,,,,,,,,,
